"sex","length","diameter","height","whole_wt","shucked_wt","rings","age"
"F",0.53,0.42,0.135,0.677,0.2565,9,10.5
"F",0.53,0.415,0.15,0.7775,0.237,20,21.5
"F",0.545,0.425,0.125,0.768,0.294,16,17.5
"F",0.55,0.44,0.15,0.8945,0.3145,19,20.5
"F",0.525,0.38,0.14,0.6065,0.194,14,15.5
"F",0.535,0.405,0.145,0.6845,0.2725,10,11.5
"F",0.47,0.355,0.1,0.4755,0.1675,10,11.5
"F",0.44,0.34,0.1,0.451,0.188,10,11.5
"F",0.565,0.44,0.155,0.9395,0.4275,12,13.5
"F",0.55,0.415,0.135,0.7635,0.318,9,10.5
"F",0.615,0.48,0.165,1.1615,0.513,10,11.5
"F",0.56,0.44,0.14,0.9285,0.3825,11,12.5
"F",0.58,0.45,0.185,0.9955,0.3945,11,12.5
"F",0.68,0.56,0.165,1.639,0.6055,15,16.5
"F",0.68,0.55,0.175,1.798,0.815,19,20.5
"F",0.705,0.55,0.2,1.7095,0.633,13,14.5
"F",0.54,0.475,0.155,1.217,0.5305,16,17.5
"F",0.45,0.355,0.105,0.5225,0.237,8,9.5
"F",0.575,0.445,0.135,0.883,0.381,11,12.5
"F",0.45,0.335,0.105,0.425,0.1865,9,10.5
"F",0.55,0.425,0.135,0.8515,0.362,14,15.5
"F",0.46,0.375,0.12,0.4605,0.1775,7,8.5
"F",0.525,0.425,0.16,0.8355,0.3545,9,10.5
"F",0.47,0.36,0.12,0.4775,0.2105,10,11.5
"F",0.5,0.4,0.14,0.6615,0.2565,8,9.5
"F",0.505,0.4,0.125,0.583,0.246,7,8.5
"F",0.53,0.41,0.13,0.6965,0.302,10,11.5
"F",0.565,0.44,0.16,0.915,0.354,12,13.5
"F",0.595,0.495,0.185,1.285,0.416,13,14.5
"F",0.475,0.39,0.12,0.5305,0.2135,10,11.5
"F",0.4,0.32,0.11,0.353,0.1405,8,9.5
"F",0.595,0.475,0.17,1.247,0.48,20,21.5
"F",0.605,0.45,0.195,1.098,0.481,13,14.5
"F",0.6,0.475,0.15,1.0075,0.4425,15,16.5
"F",0.6,0.47,0.15,0.922,0.363,10,11.5
"F",0.555,0.425,0.14,0.788,0.282,11,12.5
"F",0.615,0.475,0.17,1.1025,0.4695,14,15.5
"F",0.575,0.445,0.14,0.941,0.3845,9,10.5
"F",0.52,0.425,0.165,0.9885,0.396,16,17.5
"F",0.57,0.465,0.18,1.295,0.339,12,13.5
"F",0.46,0.355,0.13,0.517,0.2205,9,10.5
"F",0.575,0.45,0.16,0.9775,0.3135,12,13.5
"F",0.625,0.495,0.165,1.262,0.507,10,11.5
"F",0.475,0.375,0.125,0.5785,0.2775,10,11.5
"F",0.52,0.41,0.155,0.727,0.291,12,13.5
"F",0.545,0.43,0.165,0.802,0.2935,11,12.5
"F",0.5,0.4,0.125,0.6675,0.261,10,11.5
"F",0.51,0.39,0.135,0.6335,0.231,9,10.5
"F",0.435,0.395,0.105,0.3635,0.136,9,10.5
"F",0.545,0.41,0.125,0.6935,0.2975,11,12.5
"F",0.53,0.415,0.115,0.5915,0.233,11,12.5
"F",0.49,0.375,0.135,0.6125,0.2555,11,12.5
"F",0.56,0.43,0.15,0.8825,0.3465,9,10.5
"F",0.47,0.365,0.105,0.4205,0.163,9,10.5
"F",0.515,0.425,0.14,0.766,0.304,14,15.5
"F",0.44,0.35,0.125,0.4035,0.175,9,10.5
"F",0.325,0.26,0.09,0.1915,0.085,7,8.5
"F",0.425,0.33,0.115,0.406,0.1635,8,9.5
"F",0.305,0.23,0.08,0.156,0.0675,7,8.5
"F",0.405,0.325,0.11,0.3555,0.151,9,10.5
"F",0.565,0.445,0.155,0.826,0.341,10,11.5
"F",0.55,0.45,0.145,0.741,0.295,10,11.5
"F",0.49,0.38,0.125,0.549,0.245,10,11.5
"F",0.605,0.5,0.185,1.1185,0.469,9,10.5
"F",0.635,0.515,0.19,1.3715,0.5065,10,11.5
"F",0.605,0.485,0.16,1.0565,0.37,10,11.5
"F",0.565,0.45,0.135,0.9885,0.387,12,13.5
"F",0.575,0.46,0.19,0.994,0.392,13,14.5
"F",0.58,0.455,0.17,0.9075,0.374,13,14.5
"F",0.575,0.46,0.165,1.124,0.2985,13,14.5
"F",0.605,0.485,0.16,1.222,0.53,13,14.5
"F",0.725,0.56,0.21,2.141,0.65,18,19.5
"F",0.65,0.545,0.23,1.752,0.5605,16,17.5
"F",0.725,0.575,0.175,2.124,0.765,20,21.5
"F",0.68,0.57,0.205,1.842,0.625,20,21.5
"F",0.68,0.515,0.175,1.6185,0.5125,12,13.5
"F",0.53,0.395,0.145,0.775,0.308,7,8.5
"F",0.52,0.405,0.115,0.776,0.32,8,9.5
"F",0.56,0.45,0.16,1.0235,0.429,10,11.5
"F",0.62,0.475,0.175,1.0165,0.4355,10,11.5
"F",0.645,0.51,0.2,1.5675,0.621,12,13.5
"F",0.63,0.48,0.15,1.0525,0.392,12,13.5
"F",0.63,0.5,0.185,1.383,0.54,10,11.5
"F",0.63,0.48,0.16,1.199,0.5265,11,12.5
"F",0.585,0.46,0.17,0.9325,0.365,9,10.5
"F",0.51,0.4,0.14,0.8145,0.459,10,11.5
"F",0.505,0.41,0.15,0.644,0.285,11,12.5
"F",0.45,0.345,0.12,0.4165,0.1655,9,10.5
"F",0.5,0.4,0.145,0.63,0.234,12,13.5
